token;ner
politikusoknak;O
nem;O
enyhébb;O
,;O
hanem;O
sokkal;O
szigorúbb;O
elvárásoknak;O
kell;O
megfelelniük;O
,;O
mint;O
bármelyik;O
magyar;O
állampolgárnak;O
.;O
;
A;O
Lehet;I-ORG
Más;I-ORG
a;I-ORG
Politika;I-ORG
ezért;O
évek;O
óta;O
nemcsak;O
a;O
vagyonnyilatkozati;O
rendszer;O
eltörlését;O
követeli;O
,;O
de;O
leraktunk;O
egy;O
olyan;O
saját;O
javaslatot;O
is;O
az;O
asztalra;O
,;O
ami;O
a;O
garanciát;O
jelentené;O
a;O
jelenlegi;O
rendszerbe;O
tudatosan;O
beépített;O
kiskapuk;O
és;O
menekülõutak;O
felszámolására;O
.;O
;
Mi;O
nemcsak;O
a;O
problémákat;O
mondjuk;O
el;O
,;O
nemcsak;O
a;O
kifogásokat;O
fogalmazzuk;O
meg;O
,;O
hanem;O
konkrét;O
,;O
végiggondolt;O
javaslatot;O
raktunk;O
le;O
az;O
asztalra;O
.;O
;
A;O
mi;O
javaslatunk;O
szerint;O
a;O
vagyonnyilatkozatok;O
helyett;O
kötelezõ;O
vagyonosodási;O
vizsgálatnak;O
kellene;O
alávetni;O
évrõl;O
évre;O
a;O
parlamenti;O
képviselõket;O
,;O
és;O
nemcsak;O
õket;O
,;O
a;O
kormánytagokat;O
,;O
közjogi;O
méltóságokat;O
,;O
önkormányzati;O
vezetõket;O
,;O
valamint;O
állami;O
és;O
önkormányzati;O
tulajdonban;O
lévõ;O
cégek;O
vezetõit;O
is;O
.;O
;
Ebben;O
a;O
rendszerben;O
az;O
átláthatóság;O
nem;O
ellenõrzés;O
nélküli;O
önbevalláson;O
alapulna;O
,;O
hanem;O
egy;O
független;O
intézmény;O
végezné;O
a;O
vizsgálatokat;O
.;O
;
A;O
vizsgálat;O
célja;O
pedig;O
nemcsak;O
a;O
bevallott;O
,;O
hanem;O
a;O
be;O
nem;O
vallott;O
vagyon;O
eredetének;O
feltérképezése;O
is;O
lenne;O
.;O
;
Mi;O
ezt;O
a;O
javaslatunkat;O
adtuk;O
be;O
akkor;O
is;O
,;O
amikor;O
Simon;I-PER
Gábor;I-PER
eltitkolt;O
százmillióira;O
fény;O
derült;O
,;O
és;O
akkor;O
is;O
,;O
amikor;O
Rogán;I-PER
Antal;I-PER
,;O
Szijjártó;I-PER
Péter;I-PER
és;O
ki;O
tudja;O
,;O
hány;O
kormánypárti;O
politikus;O
lebukott;O
a;O
vagyonnyilatkozatával;O
.;O
;
Minket;O
ugyanis;O
a;O
kormánnyal;O
szemben;O
nem;O
a;O
korrupció;O
színe;O
érdekel;O
,;O
hanem;O
a;O
korrupció;O
ténye;O
.;O
;
A;O
kormánytöbbség;O
azonban;O
minden;O
egyes;O
alkalommal;O
lesöpörte;O
a;O
javaslatunkat;O
,;O
ezzel;O
egyértelmûvé;O
tette;O
,;O
hogy;O
a;O
kormánypárti;O
képviselõknek;O
van;O
takargatnivalójuk;O
,;O
ha;O
ugyanis;O
az;O
ember;O
nem;O
rejteget;O
semmit;O
,;O
ha;O
valóban;O
tisztességes;O
,;O
akkor;O
a;O
minél;O
szigorúbb;O
vizsgálatban;O
érdekelt;O
,;O
hiszen;O
csak;O
így;O
tudja;O
ezt;O
jobban;O
bizonyítani;O
.;O
;
Mi;O
azonban;O
nem;O
adjuk;O
fel;O
,;O
az;O
idei;O
év;O
elején;O
ötpárti;O
egyeztetést;O
kezdeményeztünk;O
a;O
javaslatunkról;O
,;O
hogy;O
a;O
frakciók;O
már;O
a;O
benyújtás;O
elõtt;O
jelezhessék;O
esetleges;O
problémáikat;O
,;O
és;O
így;O
is;O
növeljük;O
a;O
valódi;O
átláthatóság;O
megteremtésének;O
az;O
esélyét;O
.;O
;
Az;O
egyeztetésen;O
legnagyobb;O
meglepetésünkre;O
az;O
ellenzéki;O
képviselõk;O
mellett;O
a;O
kormánypárt;O
egy;O
képviselõje;O
is;O
megjelent;O
,;O
bár;O
jelenlétével;O
nem;O
emelte;O
az;O
esemény;O
fényét;O
,;O
ugyanis;O
világossá;O
tette;O
,;O
hogy;O
a;O
Fidesznek;I-ORG
esze;O
ágában;O
sincsen;O
hozzányúlni;O
a;O
jelenlegi;O
vagyonnyilatkozati;O
rendszerhez;O
,;O
hiszen;O
szerinte;O
az;O
jelenleg;O
Európa;I-LOC
egyik;O
legszigorúbb;O
ilyen;O
jellegû;O
rendszere;O
.;O
;
Bár;O
teljesen;O
egyértelmû;O
,;O
hogy;O
kár;O
vitázni;O
a;O
Fidesz;I-ORG
álláspontjával;O
,;O
hiszen;O
azt;O
õk;O
maguk;O
se;O
gondolják;O
komolyan;O
,;O
de;O
azért;O
érdemes;O
egy;O
dolgot;O
leszögezni;O
.;O
;
Az;O
a;O
rendszer;O
,;O
ahol;O
a;O
politikusok;O
sorra;O
titkolják;O
el;O
a;O
vagyonukat;O
,;O
majd;O
semmiféle;O
következménye;O
nincs;O
annak;O
,;O
ha;O
rajtakapják;O
õket;O
,;O
az;O
nem;O
szigorú;O
,;O
se;O
nem;O
mûködõképes;O
,;O
és;O
ebbõl;O
a;O
szempontból;O
minket;O
egyáltalán;O
nem;O
érdekel;O
,;O
hogy;O
Európa;I-LOC
más;O
országaiban;O
mi;O
a;O
szabályozás;O
.;O
;
Mi;O
a;O
napokban;O
újra;O
benyújtjuk;O
azt;O
a;O
javaslatunkat;O
,;O
amelybe;O
már;O
a;O
kérdést;O
komolyan;O
vevõ;O
parlamenti;O
pártok;O
javaslatait;O
is;O
beépítettük;O
.;O
;
A;O
kérdésrõl;O
tehát;O
újra;O
szavazni;O
fog;O
az;O
Országgyûlés;I-ORG
,;O
és;O
akkor;O
újra;O
ki;O
fog;O
derülni;O
,;O
hogy;O
a;O
kormánypártok;O
a;O
korrupt;O
politikusok;O
vagy;O
pedig;O
az;O
átláthatóság;O
oldalán;O
állnak;O
.;O
;
Egy;O
dolgot;O
azonban;O
érdemes;O
minden;O
egyes;O
kormánypárti;O
képviselõnek;O
az;O
eszébe;O
vésnie;O
:;O
ha;O
újra;O
leszavazzák;O
a;O
javaslatunkat;O
,;O
akkor;O
nem;O
az;O
LMP;I-ORG
ötletére;O
mondanak;O
nemet;O
,;O
hanem;O
a;O
magyar;O
emberek;O
azon;O
teljesen;O
egyértelmû;O
igényére;O
,;O
hogy;O
a;O
korrupt;O
politikusokat;O
vonják;O
felelõsségre;O
.;O
;
Köszönöm;O
a;O
figyelmet;O
.;O
;
(;O
Taps;O
az;O
MSZP;I-ORG
soraiban;O
.;O
);O
;
DR;O
.;O
;
HILLER;I-PER
ISTVÁN;I-PER
(;O
MSZP;I-ORG
);O
:;O
Elnök;O
Úr;O
!;O
;
Tisztelt;I-ORG
Képviselõ;I-ORG
Asszony;I-ORG
!;O
;
Tisztelt;I-ORG
Képviselõ;I-ORG
Urak;I-ORG
!;O
;
Tisztelt;I-PER
Ház;I-PER
!;O
;
A;O
közelmúltban;O
komoly;O
visszhangot;O
váltott;O
ki;O
a;O
miniszterelnök;O
úr;O
egy;O
nyilvánosság;O
elõtt;O
elmondott;O
beszéde;O
,;O
amelyben;O
az;O
etnikai;O
homogenitás;O
kifejezést;O
használta;O
.;O
;
A;O
visszhang;O
itthon;O
és;O
külföldön;O
is;O
bíráló;O
és;O
negatív;O
volt;O
.;O
;
A;O
kormány;O
több;O
fordulón;O
keresztül;O
magyarázkodott;O
,;O
okkal;O
.;O
;
Sokan;O
sokféle;O
értelmezést;O
adtak;O
és;O
elemezték;O
.;O
;
Kérem;O
,;O
engedjék;O
meg;O
,;O
hogy;O
a;O
tudományos;O
kutatás;O
általános;O
és;O
elfogadott;O
megállapításait;O
itt;O
és;O
ma;O
összekapcsoljam;O
egy;O
roppant;O
egyszerû;O
,;O
ám;O
igencsak;O
konkrét;O
politikai;O
példával;O
,;O
a;O
mi;O
esetünkben;O
jelenleg;O
a;O
Magyar;I-ORG
Országgyûlés;I-ORG
munkahelyi;O
adottságaival;O
.;O
;
A;O
Magyar;I-ORG
Országgyûlés;I-ORG
képviselõi;O
az;O
ülésen;O
részt;O
vevõ;O
nemzeti;O
szószólók;O
kivételével;O
nem;O
etnikai;O
alapon;O
kerülnek;O
ki;O
-;O
,;O
illetve;O
megválasztásra;O
.;O
;
Magyar;O
emberek;O
,;O
magyar;O
állampolgárok;O
,;O
ebben;O
az;O
összehasonlításban;O
sok;O
más;O
magyarországi;O
környezethez;O
,;O
munkahelyhez;O
hasonlíthatók;O
.;O
;
Mégis;O
sokkal;O
inkább;O
szem;O
elõtt;O
vannak;O
,;O
vagyunk;O
,;O
ezért;O
javaslom;O
,;O
hogy;O
nézzük;O
meg;O
ezen;O
említett;O
aspektusból;O
.;O
;
A;O
legtisztességesebb;O
mindjárt;O
magamon;O
és;O
a;O
saját;O
frakciómon;O
kezdeni;O
.;O
;
Hiller;I-PER
a;O
családnevem;O
,;O
soproni;O
régi;O
polgár;O
család;O
,;O
de;O
jól;O
érezhetõen;O
a;O
névbõl;O
az;O
õseim;O
nem;O
Árpád;I-PER
vezérünkkel;O
jöttek;O
a;O
mai;O
Magyarországra;I-LOC
.;O
;
Mögöttem;O
Korózs;I-PER
képviselõ;O
úr;O
ül;O
,;O
az;O
õ;O
felmenõi;O
és;O
neve;O
vallon;O
eredetû;O
,;O
mellettem;O
meg;O
Burány;I-PER
képviselõ;O
,;O
akinek;O
családneve;O
szlovák;O
csengésû;O
.;O
;
Egy;O
frakcióval;O
arrébb;O
a;O
frakcióvezetõt;O
Volnernak;I-PER
hívják;O
,;O
mellette;O
Staudt;I-PER
képviselõ;O
ül;O
(;O
Derültség;O
a;O
Jobbik;I-ORG
soraiban;O
.;O
;
);O
,;O
mögöttük;O
Ander;I-PER
képviselõ;O
,;O
mellettem;O
meg;O
Sneider;I-PER
alelnök;O
úr;O
,;O
akiktõl;O
egyébként;O
alapvetõ;O
felfogásbeli;O
különbségek;O
választanak;O
el;O
,;O
de;O
az;O
összeköt;O
,;O
hogy;O
az;O
õ;O
nevük;O
sem;O
õsmagyar;O
eredetû;O
.;O
;
Egy;O
újabb;O
frakcióval;O
arrébb;O
nemrég;O
Schmuck;I-PER
képviselõ;O
asszony;O
volt;O
a;O
vezetõ;O
,;O
elõtte;O
Schiffer;I-PER
képviselõ;O
úr;O
látta;O
el;O
ezt;O
a;O
szerepet;O
,;O
szép;O
nevek;O
,;O
frakciójuk;O
tagja;O
pedig;O
az;O
imént;O
felszólalt;O
Ikotity;I-PER
képviselõ;O
úr;O
,;O
nem;O
kétséges;O
,;O
szláv;O
,;O
talán;O
szerb;O
felmenõkkel;O
.;O
;
A;O
kereszténydemokratáknál;O
Hoffmann;I-PER
állam­titkár;O
asszony;O
elõtt;O
Harrach;I-PER
frakcióvezetõ;O
ül;O
(;O
Derül­tség;O
.;O
;
);O
,;O
mögötte;O
Firtl;I-PER
képviselõ;O
úr;O
,;O
civitas;O
fidelissima;O
,;O
a;O
leghûségesebb;O
magyar;O
város;O
képviselõje;O
.;O
;
Hirt;I-PER
,;O
Lezsák;O
,;O
Manninger;I-PER
,;O
Völner;I-LOC
,;O
Witzmann;I-PER
,;O
Tuzson;I-PER
Fidesz-képviselõ;O
urak;O
nevei;O
is;O
jól;O
és;O
világosan;O
tanúskodnak;O
.;O
;
Az;O
Európai;I-ORG
Unióban;I-ORG
a;O
magyar;O
biztos;O
neve;O
Navracsics;I-PER
.;O
;
(;O
Derültség;O
.;O
);O
;
Hazánk;O
jelenlegi;O
köztársasági;O
elnöke;O
pedig;O
Áder;I-PER
,;O
német;O
nevet;O
visel;O
,;O
jelentése;O
ér;O
,;O
erezet;O
.;O
;
Ez;O
,;O
tisztelt;O
képviselõtársak;O
,;O
Európa;I-LOC
közepén;O
így;O
normális;O
.;O
;
(;O
Dr.;O
Rétvári;I-PER
Bence;I-PER
:;O
Errõl;O
beszélt;O
a;O
miniszterelnök;O
is;O
!;O
;
Szó;O
szerint;O
ezt;O
mondta;O
!;O
;
A;O
sváb;O
nevekrõl;O
beszélt;O
õ;O
is;O
!;O
);O
;
Különbözõ;O
irányokból;O
jöttünk;O
.;O
;
Különbözõ;O
irányokból;O
jöttek;O
az;O
õseink;O
.;O
;
Vitatkoznak;O
,;O
vitatkozunk;O
néha;O
késhegyig;O
menõ;O
vitákban;O
,;O
és;O
remélem;O
,;O
hogy;O
ebben;O
egyetértünk;O
,;O
mindannyian;O
büszke;O
magyarok;O
vagyunk;O
.;O
;
Egyiknek;O
sincs;O
joga;O
a;O
másikat;O
feljebb;O
vagy;O
lejjebb;O
sorolni;O
,;O
mert;O
így;O
vagyunk;O
,;O
így;O
alkotunk;O
egy;O
nemzetet;O
.;O
;
Felesleges;O
minden;O
olyan;O
beszéd;O
,;O
amely;O
mást;O
és;O
másként;O
akarja;O
ezt;O
láttatni;O
.;O
;
Ha;O
szabad;O
,;O
érdemes;O
minderrõl;O
a;O
tudományt;O
említeni;O
,;O
ugyanis;O
a;O
tudomány;O
elõbb;O
adott;O
hiteles;O
és;O
átgondolt;O
magyarázatot;O
,;O
mint;O
a;O
politikusok;O
.;O
Ennek;O
a;O
kérdésnek;O
az;O
egyik;O
legtekintélyesebb;O
professzora;O
,;O
Bálint;I-PER
Csanád;I-PER
akadémikus;O
így;O
foglalta;O
ezt;O
össze;O
,;O
megjelent;O
a;O
Magyar;I-ORG
Tudomány;I-ORG
2008;I-ORG
/;O
10.;O
októberi;O
számában;O
:;O
„;O
Aki;O
nyílegyenesen;O
töretlen;O
ívû;O
históriának;O
szeretné;O
látni;O
a;O
magyar;O
nép;O
genezisét;O
,;O
valószínûleg;O
elégedetlen;O
a;O
szaktudósok;O
eredményeivel;O
,;O
s;O
persze;O
továbbra;O
is;O
ragaszkodhat;O
fantazmagóriáihoz;O
.;O
	O;
Javaslom;O
,;O
hogy;O
ne;O
ehhez;O
ragaszkodjunk;O
.;O
;
Javaslom;O
,;O
hogy;O
egymás;O
között;O
is;O
vegyük;O
alapul;O
mindazt;O
,;O
ami;O
elhangzott;O
és;O
gondolatainkat;O
,;O
beszédeinket;O
is;O
érdemes;O
ennek;O
megfelelõen;O
alakítani;O
.;O
;
Köszönöm;O
szépen;O
,;O
hogy;O
meghallgattak;O
.;O
;
(;O
Taps;O
az;O
MSZP;I-ORG
soraiban;O
.;O
);O
;
GYÖNGYÖSI;I-PER
MÁRTON;I-PER
(;O
Jobbik;I-ORG
);O
:;O
Köszönöm;O
a;O
szót;O
.;O
;
Tisztelt;I-ORG
Elnök;I-ORG
Úr;I-ORG
!;I-ORG
;
Tisztelt;O
Képviselõtársaim;O
!;O
;
A;O
múlt;O
héten;O
a;O
vezetõ;O
német;O
gazdasági;O
napilapban;O
,;O
a;O
Global;I-ORG
Handelsblattban;I-ORG
Günther;I-ORG
Oettinger;I-ORG
EU-büdzsét;I-ORG
felügyelõ;O
német;O
biztos;O
egy;O
kérdésre;O
adott;O
válaszában;O
azt;O
mondta;O
,;O
azt;O
nyilatkozta;O
,;O
hogy;O
az;O
olyan;O
renitens;O
országokkal;O
szemben;O
,;O
mint;O
amilyen;O
Magyarország;I-LOC
és;O
Lengyelország;I-LOC
,;O
nem;O
szabad;O
azt;O
a;O
szankciót;O
alkalmazni;O
,;O
hogy;O
az;O
európai;O
uniós;O
forrásokat;O
megvonjuk;O
,;O
ugyanis;O
ezek;O
a;O
források;O
nem;O
a;O
kelet-közép-európai;O
régió;O
fejlesztését;O
szolgálják;O
elsõsorban;O
,;O
hanem;O
a;O
nyugati;O
országok;O
cégeinek;O
jelentenek;O
pótlólagos;O
bevételt;O
,;O
elsõsorban;O
az;O
õ;O
érdekeiket;O
,;O
az;O
õ;O
piacszerzésüket;O
szolgálják;O
ezek;O
az;O
európai;O
uniós;O
források;O
,;O
az;O
Európai;I-ORG
Unió;I-ORG
fejlesztési;O
és;O
kohéziós;O
politikája;O
.;O
;
A;O
Kelet-Közép-Európa;I-LOC
országainak;O
adott;O
források;O
elsõsorban;O
a;O
nyugat-európai;O
cégeknek;O
jelentenek;O
pótlólagos;O
bevételt;O
,;O
megrendelést;O
.;O
;
Ez;O
a;O
kijelentés;O
egy;O
európai;O
uniós;O
biztostól;O
a;O
nyílt;O
beismerése;O
annak;O
,;O
hogy;O
az;O
Európai;I-ORG
Unió;I-ORG
a;O
kelet-közép-európai;O
országok;O
komprádor;O
kormányaival;O
közösen;O
veri;O
át;O
Kelet-Közép-Európa;O
népeit;O
";";O
közösen;O
,;O
ugyanis;O
ehhez;O
az;O
európai;O
uniós;O
kormányok;O
is;O
asszisztálnak;O
.;O
;
Ez;O
,;O
ha;O
úgy;O
tetszik;O
,;O
elmondhatjuk;O
,;O
hogy;O
Brüsszel;I-LOC
õszödi;O
beszéde;O
.;O
;
Egy;O
európai;O
uniós;O
biztos;O
,;O
az;O
Európai;I-ORG
Unió;I-ORG
egyik;O
vezetõje;O
kikotyogta;O
a;O
szörnyû;O
igazságot;O
.;O
;
Azt;O
hiszem;O
,;O
nem;O
túlzás;O
azt;O
mondani;O
,;O
hogy;O
felér;O
az;O
õszödi;O
beszéddel;O
.;O
;
Kiderült;O
az;O
,;O
amit;O
eddig;O
mindig;O
is;O
sejtettünk;O
,;O
mindig;O
is;O
érezhettünk;O
,;O
de;O
most;O
már;O
az;O
Európai;I-ORG
Unió;I-ORG
egyik;O
vezetõje;O
mondta;O
ki;O
azt;O
,;O
hogy;O
az;O
Európai;I-ORG
Unió;I-ORG
elsõsorban;O
nyugati;O
,;O
azon;O
belül;O
is;O
német;O
gazdasági;O
,;O
pénzügyi;O
érdekek;O
szolgálatában;O
áll;O
,;O
és;O
az;O
európai;O
uniós;O
fejlesztési;O
kohéziós;O
politika;O
elsõsorban;O
a;O
nyugati;O
cégek;O
piacszerzésérõl;O
szól;O
,;O
és;O
nem;O
a;O
kelet-közép-európai;O
régió;O
fejlesztésérõl;O
.;O
;
A;O
kohéziós;O
politika;O
elsõdleges;O
kedvezményezettjei;O
a;O
nyugat-európai;O
országok;O
.;O
;
A;O
Jobbik;I-ORG
Magyarországért;I-ORG
Mozgalom;I-ORG
már;O
2011-ben;O
felhívta;O
a;O
figyelmet;O
,;O
itt;O
lenne;O
az;O
ideje;O
annak;O
,;O
hogy;O
az;O
Európai;I-ORG
Unió;I-ORG
valós;O
mérlegét;O
megvonjuk;O
.;O
;
Ugyanis;O
nem;O
IGAZ;O
az;O
,;O
amit;O
a;O
Fidesz;I-ORG
és;O
a;O
balliberális;O
atlantisták;O
egymásra;O
licitálva;O
hangoztatnak;O
,;O
hogy;O
az;O
európai;O
uniós;O
csatlakozásunk;O
mérlege;O
kimerül;O
a;O
közvetlen;O
hatásokban;O
,;O
az;O
Európai;I-ORG
Uniónak;I-ORG
fizetett;O
tagdíj;O
,;O
illetve;O
az;O
Európai;I-ORG
Unióból;I-ORG
hazánkba;O
érkezõ;O
források;O
különbözetében;O
.;O
;
Nem;O
ebbõl;O
áll;O
az;O
Európai;I-ORG
Unió;I-ORG
mérlege;O
,;O
vannak;O
követett;O
hatások;O
is;O
,;O
többek;O
között;O
az;O
,;O
hogy;O
az;O
európai;O
uniós;O
forrásokat;O
hogyan;O
,;O
miként;O
használhatjuk;O
föl;O
.;O
;
Itt;O
államtitkár;O
úrral;O
,;O
illetve;O
az;O
ön;O
fõnökével;O
,;O
miniszter;O
úrral;O
is;O
már;O
több;O
alkalommal;O
volt;O
vitánk;O
az;O
európai;O
uniós;O
forrásokkal;O
kapcsolatban;O
,;O
és;O
mély;O
egyetértésben;O
voltunk;O
a;O
tekintetben;O
,;O
hogy;O
az;O
európai;O
uniós;O
fejlesztési;O
politika;O
bizonyos;O
értelemben;O
reformokra;O
szorul;O
,;O
ugyanis;O
ezek;O
pántlikázott;O
pénzek;O
?;O
itt;O
van;O
az;O
európai;O
uniós;O
biztos;O
nyilatkozata;O
ezzel;O
kapcsolatban;O
?;O
,;O
amelyeket;O
az;O
európai;O
uniós;O
tagállamok;O
nem;O
úgy;O
költhetnek;O
el;O
,;O
ahogy;O
õk;O
szeretnék;O
,;O
vagy;O
ahogy;O
az;O
õ;O
érdekeik;O
elsõsorban;O
diktálnák;O
,;O
hanem;O
úgy;O
,;O
ahogy;O
azt;O
a;O
kiíró;O
,;O
a;O
fejlesztési;O
pénzek;O
nyújtója;O
elõírja;O
,;O
és;O
olyan;O
befektetéseket;O
eszközölhet;O
,;O
amilyeneket;O
a;O
források;O
nyújtója;O
ebbõl;O
megenged;O
.;O
;
Az;O
igazi;O
kérdés;O
már;O
csak;O
az;O
,;O
hogy;O
miért;O
hallgat;O
a;O
magyar;O
kormány;O
,;O
és;O
miért;O
hallgatnak;O
a;O
közép-kelet-európai;O
országok;O
ebben;O
a;O
kérdésben;O
.;O
;
Háromszor;O
négy;O
éven;O
keresztül;O
önök;O
kormányozták;O
ezt;O
az;O
országot;O
,;O
és;O
a;O
felzárkózás;O
illúzióját;O
keltették;O
itt;O
,;O
Magyarországon;I-LOC
,;O
hogy;O
az;O
európai;O
uniós;O
fejlesztési;O
pénzekbõl;O
,;O
ezzel;O
a;O
kohéziós;O
politikával;O
Magyarország;I-LOC
az;O
európai;O
uniós;O
tagság;O
következményeképpen;O
majd;O
szépen;O
fölzárkózik;O
a;O
Nyugathoz;I-LOC
,;O
és;O
mindannyian;O
meglepõdünk;O
,;O
hogy;O
nemhogy;O
közelebb;O
kerülnénk;O
Nyugat-Európához;I-LOC
,;O
hanem;O
attól;O
egyre;O
távolabb;O
kerülünk;O
.;O
;
Talán;O
nem;O
azt;O
a;O
fajta;O
gazdaságpolitikát;O
kellett;O
volna;O
folytatni;O
,;O
amit;O
önök;O
folytattak;O
,;O
hogy;O
alacsony;O
bérekkel;O
,;O
rugalmas;O
munkatörvénykönyvvel;O
kiszolgáltatják;O
a;O
magyar;O
lakosságot;O
,;O
a;O
magyar;O
állampolgárokat;O
ennek;O
a;O
felelõtlen;O
politikának;O
,;O
ami;O
alapvetõen;O
két;O
lehetõséget;O
tár;O
egy;O
magyar;O
munkavállaló;O
elé;O
,;O
egy;O
ambiciózus;O
fiatal;O
magyar;O
elé;O
:;O
vagy;O
itthon;O
marad;O
és;O
beáll;O
bérrabszolgának;O
,;O
vagy;O
pedig;O
elmegy;O
Nyugat-Európába;I-LOC
.;O
;
Örülök;O
,;O
hogy;O
önök;O
végre;O
találtak;O
egy;O
gumicsontot;O
és;O
észrevették;O
azt;O
,;O
amit;O
már;O
tíz;O
éve;O
tudunk;O
,;O
hogy;O
az;O
Európai;I-ORG
Unió;I-ORG
perifériáján;O
másodrangú;O
állampolgárok;O
vagyunk;O
,;O
és;O
szeméttel;O
etetik;O
Kelet-Közép-Európa;O
népeit;O
.;O
;
De;O
nem;O
ez;O
a;O
valóságos;O
probléma;O
,;O
hanem;O
az;O
,;O
hogy;O
a;O
bérek;O
leszakadóban;O
vannak;O
.;O
;
Ezzel;O
tessék;O
foglalkozni;O
!;O
;
Kövessék;O
a;O
Jobbik;I-ORG
példáját;O
…;O
ELNÖK;O
:;O
Képviselõ;O
úr;O
!;O
;
GYÖNGYÖSI;I-PER
MÁRTON;I-PER
(;O
Jobbik;I-ORG
);O
:;O
…;O
amelyik;O
a;O
béruniót;O
tûzte;O
ki;O
célul;O
és;O
a;O
magyar;O
bérek;O
felzárkóztatását;O
Nyugat-Európához;I-LOC
.;O
;
Köszönöm;O
szépen;O
.;O
;
(;O
Taps;O
a;O
Jobbik;I-ORG
soraiban;O
.;O
);O
;
MÓRING;I-PER
JÓZSEF;I-PER
ATTILA;I-PER
(;O
KDNP;I-ORG
);O
:;O
Köszönöm;O
a;O
szót;O
.;O
;
Tisztelt;I-ORG
Elnök;I-ORG
Úr;I-ORG
!;I-ORG
;
Tisztelt;I-PER
Ház;I-PER
!;O
;
Tisztelt;I-PER
Képviselõtársak;I-PER
!;O
;
Tisztelt;O
Államtitkár;O
Úr;O
!;O
;
Az;O
energiapolitika;O
meghatározó;O
része;O
az;O
energiafogyasztás;O
és;O
az;O
ezt;O
biztonságosan;O
fedezni;O
képes;O
ellátási;O
rendszer;O
,;O
az;O
ország;O
átgondoltan;O
megválasztott;O
energia-portfóliója;O
.;O
;
Magam;O
is;O
érdeklõdéssel;O
kísérem;O
figyelemmel;O
a;O
hazai;O
mellett;O
a;O
világ;O
energiafogyasztási;O
trendjeit;O
,;O
ahogy;O
az;O
energiahordozók;O
alkalmazásának;O
változását;O
is;O
.;O
;
Ezekrõl;O
a;O
folyamatokról;O
áttekinthetõ;O
adatokkal;O
rendelkezik;O
a;O
Nemzetközi;I-ORG
Energia;I-ORG
Ügynökség;I-ORG
,;O
de;O
most;O
legutóbb;O
az;O
Európai;I-ORG
Unió;I-ORG
statisztikai;O
hivatala;O
is;O
nyilvánosságra;O
hozott;O
adatokat;O
az;O
EU;I-ORG
energiafogyasztásáról;O
.;O
;
Mielõtt;O
azonban;O
említést;O
tennék;O
ezen;O
adatok;O
fõbb;O
megállapításairól;O
,;O
vessünk;O
egy;O
pillantást;O
hazánkra;O
:;O
milyen;O
energiákra;O
építünk;O
tehát;O
itthon;O
?;O
;
Van;O
Magyarországon;I-LOC
atom;O
,;O
szén;O
,;O
illetve;O
lignit;O
és;O
meg­újuló;O
energiaforrások;O
.;O
;
Ezek;O
az;O
elmúlt;O
évek;O
tapasztalatai;O
alapján;O
jól;O
megférnek;O
egymás;O
mellett;O
,;O
rendszerünk;O
jól;O
üzemel;O
,;O
fogyasztóink;O
ellátása;O
garantált;O
jelenleg;O
is;O
.;O
;
Még;O
a;O
három;O
évtizedes;O
hidegrekordot;O
produkáló;O
2017-es;O
januárban;O
is;O
képes;O
volt;O
jól;O
helytállni;O
energiarendszerünk;O
,;O
az;O
ország;O
energiaellátás-biz­ton­sága;O
ezen;O
a;O
télen;O
is;O
végig;O
garantált;O
volt;O
.;O
;
Ugyanakkor;O
az;O
EU;I-ORG
felé;O
azt;O
vállaltuk;O
,;O
hogy;O
hozzájárulunk;O
a;O
közösségi;O
üvegházhatásúgáz-kibocsátás;O
2030-ig;O
az;O
1990-es;O
szinthez;O
képest;O
történõ;O
40;O
százalékos;O
csökkentéséhez;O
,;O
míg;O
a;O
világ;O
,;O
pontosabban;O
a;O
párizsi;O
egyezmény;O
aláírói;O
felé;O
pedig;O
,;O
hogy;O
a;O
globális;O
éghajlatvédelmi;O
célok;O
elérését;O
elõsegítjük;O
.;O
;
Mindezek;O
fényében;O
felmerülhet;O
a;O
kérdés;O
,;O
nem;O
túlhaladott-e;O
ez;O
a;O
hazai;O
energiamix;O
,;O
megfelelõen;O
képes-e;O
támogatni;O
ezen;O
elkötelezõdésünket;O
a;O
dekarbonizáció;O
irányába;O
.;O
;
Ennek;O
megválaszolásához;O
érdemes;O
tehát;O
végigvennünk;O
az;O
európai;O
uniós;O
energiafogyasztási;O
adatokat;O
.;O
;
Hol;O
is;O
áll;O
pontosan;O
Európa;I-LOC
ezen;O
karbonmentesítési;O
feladat;O
teljesítésében;O
?;O
;
A;O
publikált;O
adatok;O
szerint;O
az;O
EU;I-ORG
bruttó;O
energiafogyasztása;O
2,5;O
százalékkal;O
az;O
1990-es;O
szint;O
alá;O
csökkent;O
2015-re;O
.;O
;
Az;O
1626;O
millió;O
tonna;O
olajegyenérték;O
felhasználása;O
egyúttal;O
11,6;O
százalékkal;O
alacsonyabb;O
a;O
2006-ben;O
elért;O
csúcsértékhez;O
viszonyítva;O
.;O
;
Tavalyelõtt;O
még;O
a;O
fogyasztás;O
közel;O
háromnegyedét;O
fosszilis;O
energiahordozókkal;O
,;O
tehát;O
szénnel;O
,;O
kõolajjal;O
és;O
földgázzal;O
biztosították;O
,;O
de;O
az;O
utóbbi;O
évtizedekben;O
részarányuk;O
folyamatosan;O
csökkent;O
";";O
míg;O
1990-ben;O
